research_question,short_question,method,primary_evidence,supporting_evidence,implementation_evidence,chapter_iv_output,status,remaining_gap,interpretation_guardrail
"RQ1","What do budding traders and stakeholders need from the forecasting system?","Stakeholder interviews or requirements survey followed by requirements traceability","","docs/frontend-forecast-contract.md","frontend/src/app/page.tsx | frontend/src/app/companies/page.tsx | frontend/src/app/watchlist/page.tsx","Stakeholder needs and requirements baseline subsection","PENDING","Collect and document anonymized stakeholder responses; approve a requirements baseline and stakeholder-to-requirement traceability.","Implemented features describe the system but do not establish stakeholder needs or participant approval."
"RQ2","How were official PSE OHLCV records collected and scoped?","Frozen formal data-provenance and coverage audit","backend/research-result/data_provenance.csv | backend/research-result/formal_scope.csv","backend/research-result/data_quality.csv | backend/research-result/results_manifest.csv","backend/src/ingestion/pipeline.py | backend/src/data/loader.py","Table 4.x — Official Data Provenance and Formal Scope","COMPLETE","","The provider reference is not a per-report URL; post-cutoff operational observations do not alter the frozen formal dataset."
"RQ3","Do the formal stock datasets meet the declared quality rules?","Predeclared OHLCV and trading-session quality screening","backend/research-result/data_quality.csv | backend/research-result/data_quality_rules.csv","backend/research-result/data_provenance.csv | backend/research-result/formal_scope.csv","backend/src/data/quality_screening.py","Table 4.x — Formal Data-Quality Screening","COMPLETE","","APX's material-discontinuity REVIEW is not a dataset FAIL or a confirmed corporate action."
"RQ4","How were LIR, ARIMA, and LSTM developed and evaluated chronologically?","Causal feature construction and expanding-window development validation","backend/research-result/formal_scope.csv | backend/research-result/selected_configurations.csv","backend/research-result/model_diagnostics.csv | backend/README.md","backend/config/model_config.py | backend/src/features/regression_features.py | backend/src/models/lag_regression.py | backend/src/models/arima.py | backend/src/models/lstm.py | backend/src/training/cross_validation.py","Methodology and model-development subsection","COMPLETE","","Frozen formal development and tuning are separate from daily persisted-model inference, which does not retrain."
"RQ5","Which configurations were selected for LIR, ARIMA, and LSTM?","Chronological development-selection record review","backend/research-result/selected_configurations.csv","backend/research-result/formal_scope.csv | backend/research-result/model_diagnostics.csv","backend/config/model_config.py | backend/src/training/train_lir.py | backend/src/training/train_arima.py | backend/src/training/train_lstm.py","Table 4.x — Selected Model Configurations","COMPLETE","","These are development-selected formal configurations, not the current production model state."
"RQ6","How accurate were the four methods on the common holdout?","Aligned holdout RMSE, MAE, MASE, and supporting R² evaluation","backend/research-result/holdout_metrics.csv","backend/research-result/holdout_predictions.csv | backend/research-result/formal_scope.csv","backend/src/evaluation/metrics.py | backend/src/evaluation/backtest.py","Table 4.x — Forecast Accuracy by Company and Method","COMPLETE","","R² is supporting context, not a forecast-accuracy percentage; all methods use the same 246 target dates per company."
"RQ7","How did principal models perform against Naive?","Within-company benchmark comparison and finalized Diebold-Mariano evidence","backend/research-result/benchmark_vs_naive_dm.csv","backend/research-result/holdout_metrics.csv | backend/research-result/principal_winners.csv | backend/research-result/holdout_predictions.csv","backend/src/evaluation/statistical_tests.py","Table 4.x — Principal Models Versus Naive","COMPLETE","","Lower holdout RMSE is descriptive improvement; statistical significance requires the finalized DM evidence."
"RQ8","What statistical differences appear among forecasting methods?","Six within-company pairs under squared- and absolute-error DM with separate Holm families; across-company MASE Friedman and conditional Wilcoxon","backend/research-result/within_company_dm.csv | backend/research-result/across_company_tests.csv","backend/research-result/holdout_predictions.csv | backend/research-result/holdout_metrics.csv","backend/src/evaluation/statistical_tests.py","Tables 4.x — Within-Company DM and Across-Company Tests","COMPLETE","","Friedman did not reject at 0.05 (p=0.6278003229833597); Wilcoxon post-hoc was not performed."
"RQ9","Which principal model won for each company and across selected companies descriptively?","Within-company RMSE winners and descriptive principal win counts","backend/research-result/principal_winners.csv | backend/research-result/principal_win_summary.csv","backend/research-result/holdout_metrics.csv","backend/src/evaluation/model_selection.py","Table 4.x — Principal-Model Winners and Win Counts","COMPLETE","","LIR 4, ARIMA 7, and LSTM 4; none reached the descriptive 8-of-15 strict majority. This is not a significance test."
"RQ10","How did selected peer companies compare within each sector?","Descriptive within-sector peer comparison","backend/research-result/sector_peer_summary.csv","backend/research-result/principal_winners.csv | backend/research-result/holdout_metrics.csv","frontend/src/components/companies/SectorComparison.tsx","Table 4.x — Selected Sector-Peer Comparisons","COMPLETE","","Findings cover three purposively selected companies per sector, not the entire PSE sector; do not pool peso RMSE/MAE to name a cross-company winner."
"RQ11","How are forecasts and research context integrated into PSE Pulse?","System integration and operational forecast-contract inspection","docs/frontend-forecast-contract.md | frontend/README.md","frontend/public/forecasts/companies.json | frontend/public/forecasts/metrics.json | backend/research-result/README.md","backend/src/export/frontend_exporter.py | frontend/src/components/company/CompanyDetailView.tsx | frontend/src/app/compare/ModelsDashboard.tsx | frontend/src/components/companies/SectorComparison.tsx","System integration demonstration and data-flow subsection","COMPLETE","","Implementation and data-contract evidence do not establish usability or user acceptance; formal and operational data remain distinct."
"RQ12","Does the system satisfy requirements and pass user-centered evaluation?","Requirements traceability, system testing, usability study, and user acceptance testing","","docs/frontend-forecast-contract.md | frontend/README.md","backend/tests/test_frontend_exporter.py | backend/tests/test_frontend_validation.py | frontend/src/app/page.tsx","Requirements, verification, usability, and UAT results subsection","PENDING","Create and review the planned requirements traceability matrix, functional/data-output/responsive/performance/privacy test results, usability and UAT results, and defect-retest log under docs/system-evaluation/.","Automated software tests and implemented features do not substitute for observed usability or UAT evidence."
